bioguide_id,full_name,state,district,party,gender,birthday,age_at_vote,first_house_term_start,house_tenure_years,total_terms
B001323,Nicholas J. Begich III,AK,0,Republican,M,1977-10-21,48.7,2025-01-03,1.5,1
M001212,Barry Moore,AL,1,Republican,M,1966-09-26,59.8,2021-01-03,5.5,3
F000481,Shomari Figures,AL,2,Democrat,M,1985-09-03,40.9,2025-01-03,1.5,1
R000575,Mike Rogers,AL,3,Republican,M,1958-07-16,68.0,2003-01-07,23.5,12
A000055,Robert B. Aderholt,AL,4,Republican,M,1965-07-22,61.0,1997-01-07,29.5,15
S001220,Dale W. Strong,AL,5,Republican,M,1970-05-08,56.2,2023-01-03,3.5,2
P000609,Gary J. Palmer,AL,6,Republican,M,1954-05-14,72.2,2015-01-06,11.5,6
S001185,Terri A. Sewell,AL,7,Democrat,F,1965-01-01,61.5,2011-01-05,15.5,8
C001087,"Eric A. ""Rick"" Crawford",AR,1,Republican,M,1966-01-22,60.5,2011-01-05,15.5,8
H001072,J. French Hill,AR,2,Republican,M,1956-12-05,69.6,2015-01-06,11.5,6
W000809,Steve Womack,AR,3,Republican,M,1957-02-18,69.4,2011-01-05,15.5,8
W000821,Bruce Westerman,AR,4,Republican,M,1967-11-18,58.7,2015-01-06,11.5,6
R000600,Aumua Amata Coleman Radewagen,AS,0,Republican,F,1947-12-29,78.5,2015-01-06,11.5,6
S001183,David Schweikert,AZ,1,Republican,M,1962-03-03,64.4,2011-01-05,15.5,8
C001132,Elijah Crane,AZ,2,Republican,M,1980-01-03,46.5,2023-01-03,3.5,2
A000381,Yassamin Ansari,AZ,3,Democrat,F,1992-04-07,34.3,2025-01-03,1.5,1
S001211,Greg Stanton,AZ,4,Democrat,M,1970-03-08,56.4,2019-01-03,7.5,4
B001302,Andy Biggs,AZ,5,Republican,M,1958-11-07,67.7,2017-01-03,9.5,5
C001133,Juan Ciscomani,AZ,6,Republican,M,1982-08-30,43.9,2023-01-03,3.5,2
G000606,Adelita S. Grijalva,AZ,7,Democrat,F,1970-10-30,55.7,2025-11-12,0.7,1
H001098,Abraham J. Hamadeh,AZ,8,Republican,M,1991-05-15,35.2,2025-01-03,1.5,1
G000565,Paul A. Gosar,AZ,9,Republican,M,1958-11-22,67.6,2011-01-05,15.5,8
G000607,James Gallagher,CA,1,Republican,M,1981-03-07,45.4,2026-06-10,0.1,1
H001068,Jared Huffman,CA,2,Democrat,M,1964-02-18,62.4,2013-01-03,13.5,7
