bioguide_id,name_as_listed,full_name,party,state,district,vote
A000370,Adams,Alma S. Adams,Democrat,NC,12,Yea
A000055,Aderholt,Robert B. Aderholt,Republican,AL,4,Yea
A000371,Aguilar,Pete Aguilar,Democrat,CA,33,Yea
A000379,Alford,Mark Alford,Republican,MO,4,Yea
A000372,Allen,Rick W. Allen,Republican,GA,12,Yea
A000369,Amodei (NV),Mark E. Amodei,Republican,NV,2,Yea
A000375,Arrington,Jodey C. Arrington,Republican,TX,19,Yea
B001291,Babin,Brian Babin,Republican,TX,36,Yea
B001298,Bacon,Don Bacon,Republican,NE,2,Yea
B001307,Baird,James R. Baird,Republican,IN,4,Yea
B001306,Balderson,Troy Balderson,Republican,OH,12,Yea
B001321,Barrett,Tom Barrett,Republican,MI,7,Yea
B001322,Baumgartner,Michael Baumgartner,Republican,WA,5,Yea
B001314,Bean (FL),Aaron Bean,Republican,FL,4,Yea
B001281,Beatty,Joyce Beatty,Democrat,OH,3,Yea
B001323,Begich,Nicholas J. Begich III,Republican,AK,0,Yea
B001324,Bell,Wesley Bell,Democrat,MO,1,Yea
B000668,Bentz,Cliff Bentz,Republican,OR,2,Yea
B001287,Bera,Ami Bera,Democrat,CA,6,Yea
B001301,Bergman,Jack Bergman,Republican,MI,1,Yea
B000740,Bice,Stephanie I. Bice,Republican,OK,5,Yea
B001325,Biggs (SC),Sheri Biggs,Republican,SC,3,Yea
B001257,Bilirakis,Gus M. Bilirakis,Republican,FL,12,Yea
B000490,Bishop,"Sanford D. Bishop, Jr.",Democrat,GA,2,Yea
B000825,Boebert,Lauren Boebert,Republican,CO,4,Yea
B001295,Bost,Mike Bost,Republican,IL,12,Yea
B001296,Boyle (PA),Brendan F. Boyle,Democrat,PA,2,Yea
B001317,Brecheen,Josh Brecheen,Republican,OK,2,Yea
B001327,Bresnahan,"Robert P. Bresnahan, Jr.",Republican,PA,8,Yea
B001313,Brown,Shontel M. Brown,Democrat,OH,11,Yea
B001285,Brownley,Julia Brownley,Democrat,CA,26,Yea
B001260,Buchanan,Vern Buchanan,Republican,FL,16,Yea
B001315,Budzinski,Nikki Budzinski,Democrat,IL,13,Yea
B001309,Burchett,Tim Burchett,Republican,TN,2,Yea
B001316,Burlison,Eric Burlison,Republican,MO,7,Yea
